	AveExpr	Coef	t	P.value	Results	Genes.ENSEMBL	Genes.SYMBOL	Genes.TXCHROM
ENSG00000000419.11	4.11669575798838	-0.0754546840859138	0	0.999999773073652	0	ENSG00000000419	DPM1	chr20
ENSG00000000457.12	3.6744080908327	0.124637539915383	0	0.999996292985239	0	ENSG00000000457	SCYL3	chr1
ENSG00000000460.15	1.46990795871888	0.193168340342658	0	0.999759522397017	0	ENSG00000000460	C1orf112	chr1
ENSG00000000938.11	1.7646967750606	0.433585045122036	0	0.932253053183563	0	ENSG00000000938	FGR	chr1
ENSG00000000971.14	3.74916045028287	0.423636237310998	0	0.894656982434033	0	ENSG00000000971	CFH	chr1
ENSG00000001036.12	5.47123065122643	-0.127146500892222	0	0.999939415631352	0	ENSG00000001036	FUCA2	chr6
ENSG00000001084.9	5.34633342855545	0.0697562065589015	0	0.999665682032246	0	ENSG00000001084	GCLC	chr6
ENSG00000001167.13	4.57696548366846	0.0614895665981701	0	0.999990550786721	0	ENSG00000001167	NFYA	chr6
ENSG00000001460.16	3.19587441406924	-0.0629617883456932	0	0.999994407910973	0	ENSG00000001460	STPG1	chr1
ENSG00000001461.15	6.61711886527968	0.0527851250756513	0	0.995603017427187	0	ENSG00000001461	NIPAL3	chr1
ENSG00000001497.15	4.92690119835665	0.00311158803020195	0	0.999997013325091	0	ENSG00000001497	LAS1L	chrX
ENSG00000001561.6	5.20106588742862	-0.272388515750471	0	0.998088802454941	0	ENSG00000001561	ENPP4	chr6
ENSG00000001617.10	5.19434445952327	0.535120596346205	0	0.898865423865029	0	ENSG00000001617	SEMA3F	chr3
ENSG00000001626.13	1.80352006027408	1.55465373382418	0.456290087578589	0.350103438358581	0	ENSG00000001626	CFTR	chr7
ENSG00000001629.8	4.93736943068035	0.110246211377698	0	0.999812221909968	0	ENSG00000001629	ANKIB1	chr7
ENSG00000001630.14	1.73274141061255	0.738735712416767	0	0.793587126563484	0	ENSG00000001630	CYP51A1	chr7
ENSG00000001631.13	4.23039977033538	0.138591498923899	0	0.999977149532139	0	ENSG00000001631	KRIT1	chr7
ENSG00000002016.15	2.44599341184758	0.165193565943803	0	0.999639311311173	0	ENSG00000002016	RAD52	chr12
ENSG00000002330.12	4.84177811409205	-0.22302726666289	0	0.987923493754641	0	ENSG00000002330	BAD	chr11
ENSG00000002549.11	5.70990053010888	0.237459188430596	0	0.999695123662402	0	ENSG00000002549	LAP3	chr4
ENSG00000002586.16	7.43498300716433	-0.243763948675016	0	0.999925855239882	0	ENSG00000002586	CD99	chrX
ENSG00000002587.8	2.79730893727371	-0.599230036309989	0	0.76686256676475	0	ENSG00000002587	HS3ST1	chr4
ENSG00000002726.18	1.20472836892272	0.667496424691726	0	0.707325609302327	0	ENSG00000002726	AOC1	chr7
